Algoritmo,Fase,N,Tempo(s),Comparacoes,Trocas
Bubble_Flag,Desordenado->Crescente,50,0.001000,1134,649
Insertion,Desordenado->Crescente,50,0.000000,694,649
Selection,Desordenado->Crescente,50,0.000000,1225,45
Shell,Desordenado->Crescente,50,0.000000,321,147
Quick_Lomuto,Desordenado->Crescente,50,0.000000,263,169
Quick_Hoare,Desordenado->Crescente,50,0.000000,423,65
Merge,Desordenado->Crescente,50,0.001000,217,649
Radix,Desordenado->Crescente,50,0.000000,250,250
Heap,Desordenado->Crescente,50,0.000000,406,237
Bubble_Flag,Ordenado->Crescente,50,0.000000,49,0
Insertion,Ordenado->Crescente,50,0.000000,49,0
Selection,Ordenado->Crescente,50,0.000000,1225,0
Shell,Ordenado->Crescente,50,0.000000,203,0
Quick_Lomuto,Ordenado->Crescente,50,0.001000,1225,1274
Quick_Hoare,Ordenado->Crescente,50,0.000000,1323,0
Merge,Ordenado->Crescente,50,0.000000,153,0
Radix,Ordenado->Crescente,50,0.000000,250,250
Heap,Ordenado->Crescente,50,0.000000,434,270
InsertionDesc,Crescente->Decrescente,50,0.001000,1225,1225
Bubble_Flag,Decrescente->Crescente,50,0.000000,1225,1225
Insertion,Decrescente->Crescente,50,0.000000,1225,1225
Selection,Decrescente->Crescente,50,0.000000,1225,25
Shell,Decrescente->Crescente,50,0.000000,263,105
Quick_Lomuto,Decrescente->Crescente,50,0.000000,1225,649
Quick_Hoare,Decrescente->Crescente,50,0.000000,1348,25
Merge,Decrescente->Crescente,50,0.001000,133,1225
Radix,Decrescente->Crescente,50,0.000000,250,250
Heap,Decrescente->Crescente,50,0.000000,379,207
Bubble_Flag,Desordenado->Crescente,100,0.000000,4209,1554
Insertion,Desordenado->Crescente,100,0.000000,1649,1554
Selection,Desordenado->Crescente,100,0.000000,4950,96
Shell,Desordenado->Crescente,100,0.000000,847,378
Quick_Lomuto,Desordenado->Crescente,100,0.001000,690,458
Quick_Hoare,Desordenado->Crescente,100,0.000000,1022,146
Merge,Desordenado->Crescente,100,0.000000,508,1554
Radix,Desordenado->Crescente,100,0.000000,500,500
Heap,Desordenado->Crescente,100,0.000000,1053,604
Bubble_Flag,Ordenado->Crescente,100,0.000000,99,0
Insertion,Ordenado->Crescente,100,0.000000,99,0
Selection,Ordenado->Crescente,100,0.000000,4950,0
Shell,Ordenado->Crescente,100,0.000000,503,0
Quick_Lomuto,Ordenado->Crescente,100,0.001000,4950,5049
Quick_Hoare,Ordenado->Crescente,100,0.000000,5148,0
Merge,Ordenado->Crescente,100,0.001000,356,0
Radix,Ordenado->Crescente,100,0.001000,500,500
Heap,Ordenado->Crescente,100,0.000000,1081,640
InsertionDesc,Crescente->Decrescente,100,0.000000,4950,4950
